City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Sunshine,Air quailty,Population Density,Military,Latitude,Longitude
Cambridge,Massachusetts,63.43770385,1,125.3,2995,Nah,8.3,7111.9,FALSE,42.3759,-71.1185
San Francisco,California,61.75233379,2,178.6,4382.5,67,9.1,7199.4,FALSE,37.7558,-122.4449
Seattle,Washington,50.8101285,3,124.6,2600,45,7.1,3412.2,FALSE,47.6211,-122.3244
"Washington, D.C. ",District of Columbia,52.23,4,120.1,2730,Nah,9.6,4434,FALSE,38.9047,-77.0163
Arlington,Virginia,37.41954797,5,99.2,2400,Nah,9.6,3511.4,FALSE,38.8786,-77.1011
Boston,Massachusetts,6.072043277,6,132.6,2900,58,8.3,5505.8,FALSE,42.3188,-71.0852
Berkeley,California,55.98266932,7,121.7,3600,Nah,9.1,4554.9,FALSE,37.8722,-122.276
Minneapolis,Minnesota,54.42721384,8,105.4,1800,Nah,8.8,3035.5,FALSE,44.9635,-93.2678
New York City,New York,20.303,9,128,2900,Nah,9.8,10768.2,FALSE,40.6943,-73.9249
Pittsburgh,Pennsylvania,36,10,93.1,1400,42,11.8,2100.7,FALSE,40.4397,-79.9763
Santa Clara,California,37.82790666,11,105.6,3350,Nah,10.9,2677.1,FALSE,37.3646,-121.968
Alexandria,Virginia,105.3399099,12,86.2,2250,Nah,9.6,4092.5,FALSE,38.8185,-77.0861
Denver,Colorado,44.92407479,13,112.1,2150,69,10.3,1805.7,FALSE,39.762,-104.8758
Jersey City,New Jersey,24.26568808,14,121.9,2200,Nah,9.8,6878.3,FALSE,40.7184,-74.0686
Sunnyvale,California,23.49879568,15,106.2,3800,Nah,10.9,2670.3,FALSE,37.3836,-122.0255
Bellevue,Washington,29.6138482,16,117.8,2800,Nah,7.1,1686.3,FALSE,47.5951,-122.1535
Atlanta,Georgia,36.92923413,17,100.3,1800,60,9.7,1419.9,FALSE,33.7628,-84.422
Portland,Oregan,57.47952769,18,116.5,1995,50,6.4,1881.6,FALSE,45.5371,-122.65
Austin,Texas,41.1140476,19,106.6,1750,58,9.4,1165.6,FALSE,30.3005,-97.7522
Chicago,Illinois,39.2580301,20,100.1,1750,52,10.8,4576.6,FALSE,41.8375,-87.6866
Irvine,California,13.70471482,21,109.9,3490,Nah,12,1604.7,FALSE,33.6772,-117.7738
Ann Arbor,Michigan,19.7977102,22,99.3,1600,Nah,8.8,1658,FALSE,42.2759,-83.731
Plano,Texas,18.30863719,23,106.5,2000,Nah,11.3,1555.8,FALSE,33.0502,-96.7486
Oakland,California,76.92449474,24,127.8,3000,Nah,9.1,2917.1,FALSE,37.7904,-122.2166
Pasadena,California,30.58123874,25,100.9,2850,Nah,12,2388,FALSE,34.1597,-118.139
Philadelphia,Pennsylvania,34.66,26,103.4,1500,55,10.1,4544.9,FALSE,40.0077,-75.1339
Madison,Wisconsin,28.3385004,27,99.5,1790,52,9.5,1253.6,FALSE,43.0822,-89.393
